term,early,late,G2,signed_G2
considered,2,23,12.42,12.42
family,12,51,11.44,11.44
reunification,0,10,9.81,9.81
risk,3,23,9.66,9.66
fact,2,19,9.23,9.23
however_,0,9,8.83,8.83
security,0,9,8.83,8.83
attempts,0,8,7.85,7.85
activities,0,8,7.85,7.85
support,0,8,7.85,7.85
legal,0,8,7.85,7.85
completely,0,7,6.87,6.87
harm,0,7,6.87,6.87
found,1,12,6.62,6.62
arguments,0,6,5.89,5.89
complete,0,6,5.89,5.89
impossible,0,6,5.89,5.89
substantial,0,6,5.89,5.89
argument,0,6,5.89,5.89
communication,0,6,5.89,5.89
likely,0,6,5.89,5.89
including,1,11,5.81,5.81
foster,1,10,5.01,5.01
become,1,10,5.01,5.01
interest,0,5,4.91,4.91
knowledge,0,5,4.91,4.91
mental,0,5,4.91,4.91
decrease,0,5,4.91,4.91
success,0,5,4.91,4.91
term,0,5,4.91,4.91
years,0,5,4.91,4.91
repeatedly,0,5,4.91,4.91
harmony,0,5,4.91,4.91
indicate,0,5,4.91,4.91
used,1,9,4.23,4.23
child_,1,9,4.23,4.23
biological,2,12,4.08,4.08
account,3,13,3.0,3.0
best,2,10,2.79,2.79
take,2,10,2.79,2.79
taken,2,10,2.79,2.79
taking,1,7,2.74,2.74
members,1,7,2.74,2.74
contributed,1,7,2.74,2.74
regard,1,7,2.74,2.74
established,1,7,2.74,2.74
system,1,7,2.74,2.74
mother_,3,12,2.45,2.45
life,4,14,2.25,2.25
resulting,1,6,2.04,2.04
access,1,6,2.04,2.04
international,1,6,2.04,2.04
objective,1,6,2.04,2.04
long,1,6,2.04,2.04
manner,1,6,2.04,2.04
circumstances,3,11,1.93,1.93
right,3,11,1.93,1.93
one,3,11,1.93,1.93
domestic,10,26,1.92,1.92
noted,4,13,1.79,1.79
first,16,37,1.71,1.71
led,2,8,1.63,1.63
conflict,3,10,1.45,1.45
intervention,1,5,1.4,1.4
care,1,5,1.4,1.4
grounds,1,5,1.4,1.4
meetings,1,5,1.4,1.4
similar,1,5,1.4,1.4
accused,1,5,1.4,1.4
february,1,5,1.4,1.4
living,1,5,1.4,1.4
separation,1,5,1.4,1.4
notes,1,5,1.4,1.4
position,2,7,1.12,1.12
process,2,7,1.12,1.12
criminal,2,7,1.12,1.12
latter,3,9,1.02,1.02
respect,4,11,0.98,0.98
state,4,11,0.98,0.98
parent,13,28,0.89,0.89
him,22,44,0.84,0.84
directive,1,4,0.82,0.82
inaction,1,4,0.82,0.82
put,1,4,0.82,0.82
particularly,1,4,0.82,0.82
age,1,4,0.82,0.82
fundamental,1,4,0.82,0.82
professional,1,4,0.82,0.82
itself,1,4,0.82,0.82
seeking,1,4,0.82,0.82
information,1,4,0.82,0.82
restrictions,1,4,0.82,0.82
home,1,4,0.82,0.82
determine,1,4,0.82,0.82
assist,1,4,0.82,0.82
supreme,1,4,0.82,0.82
rejected,1,4,0.82,0.82
claim,1,4,0.82,0.82
parental,28,54,0.75,0.75
evidence,2,6,0.68,0.68
june,2,6,0.68,0.68
credibility,2,6,0.68,0.68
based,2,6,0.68,0.68
conclusion,2,6,0.68,0.68
made,2,6,0.68,0.68
required,2,6,0.68,0.68
severe,2,6,0.68,0.68
that_,3,8,0.64,0.64
suffered,3,8,0.64,0.64
measures,3,8,0.64,0.64
action,3,8,0.64,0.64
application,3,8,0.64,0.64
psychologist,4,10,0.64,0.64
law,3,8,0.64,0.64
seriously,3,8,0.64,0.64
emotional,7,15,0.46,0.46
decision,7,15,0.46,0.46
